City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,norman wells,65.282,-126.8329,-28.98,76,75,1.54,CA,1675877476
84,labuhan,-6.8844,112.2051,25.53,87,97,4.38,ID,1675877477
85,korla,41.7597,86.1469,-0.83,71,45,0.88,CN,1675877477
86,santo domingo,18.5001,-69.9886,29.82,81,75,8.23,DO,1675877240
87,castro,-24.7911,-50.0119,26.75,49,7,2.99,BR,1675877295
88,usvyaty,55.7456,30.7533,-1.92,95,100,3.02,RU,1675877479
89,codrington,-38.2667,141.9667,11.94,87,58,2.71,AU,1675877480
90,port alfred,-33.5906,26.891,21.77,84,98,3.64,ZA,1675877481
91,martapura,-3.4167,114.85,22.05,100,100,3.6,ID,1675877481
92,saint-philippe,-21.3585,55.7679,25.77,82,62,5.6,RE,1675877482
93,geraldton,-28.7667,114.6,22.23,78,0,6.17,AU,1675876980
94,ellisras,-23.6649,27.7443,25.75,51,95,4.25,ZA,1675877482
95,coihaique,-45.5752,-72.0662,23.34,53,75,4.12,CL,1675877483
96,hilo,19.7297,-155.09,21.64,93,75,2.06,US,1675877206
97,constitucion,-35.3333,-72.4167,22.18,53,5,3.41,CL,1675877484
98,fort-shevchenko,44.5086,50.263,-3.07,87,100,10.06,KZ,1675877485
99,bata,1.8639,9.7658,27.46,78,39,3.77,GQ,1675877485
100,sarkand,45.41,79.9186,-1.76,74,100,2.48,KZ,1675877486
101,hambantota,6.1241,81.1185,24.6,80,95,6.04,LK,1675877486
102,chuy,-33.6971,-53.4616,31.52,38,31,3.75,UY,1675877327
103,copiapo,-27.3667,-70.3333,21.83,28,3,4.94,CL,1675877487
104,rockport,28.0206,-97.0544,15.03,100,100,9.26,US,1675877345
105,severo-kurilsk,50.6789,156.125,-5.66,66,96,7.31,RU,1675877351
106,genhe,50.7833,121.5167,-31.96,100,83,0.47,CN,1675877490
107,brooks,50.5834,-111.8851,-1.21,93,100,9.26,CA,1675877447
108,batesville,35.7698,-91.641,8.93,98,100,2.24,US,1675877329
109,bengkulu,-3.8004,102.2655,24.1,86,91,2.35,ID,1675877306
110,weligama,5.9667,80.4167,24.1,85,94,2.47,LK,1675877491
111,lima,-12.0432,-77.0282,24.14,78,0,4.12,PE,1675877355
112,melfi,40.9965,15.6514,1.38,84,100,1.6,IT,1675877492
113,dikson,73.5069,80.5464,-15.58,79,100,6.64,RU,1675877493
114,shimoda,34.6667,138.95,9.12,63,86,5.22,JP,1675877494
115,east london,-33.0153,27.9116,21.52,81,100,3.69,ZA,1675877280
116,huarmey,-10.0681,-78.1522,25.51,73,60,4.73,PE,1675877494
117,daru,-9.0763,143.2092,24.67,93,100,5.84,PG,1675877495
118,lasa,46.6166,10.7002,-0.51,93,50,0.26,IT,1675877496
119,vega de alatorre,20.0333,-96.6333,26.31,65,1,3.07,MX,1675877496
120,nanortalik,60.1432,-45.2371,-1.36,85,100,3.6,GL,1675877497
121,bambous virieux,-20.3428,57.7575,26.79,78,40,2.06,MU,1675877291
122,moses lake,47.1301,-119.2781,5.38,70,0,0.0,US,1675877498
123,sandnessjoen,66.0217,12.6316,9.29,49,0,10.29,NO,1675877498
124,klyuchevskiy,53.5317,119.4519,-23.93,99,88,1.06,RU,1675877499
125,longyearbyen,78.2186,15.6401,-4.09,86,100,7.72,SJ,1675877499
126,carballo,43.213,-8.691,14.68,75,0,1.47,ES,1675877500
127,vao,-22.6667,167.4833,25.43,84,100,7.16,NC,1675877500
128,cherskiy,68.75,161.3,-31.18,98,100,3.43,RU,1675877501
129,evensk,61.95,159.2333,-28.94,74,14,4.68,RU,1675877501
130,beloha,-25.1667,45.05,24.3,81,100,0.98,MG,1675877484
131,chateaubelair,13.2833,-61.25,25.29,89,40,6.17,VC,1675877501
132,portland,45.5234,-122.6762,7.19,92,40,3.13,US,1675877134
133,fare,-16.7,-151.0167,26.75,75,13,4.57,PF,1675877502
134,kimbe,-5.5502,150.1429,24.05,96,100,2.28,PG,1675877503
135,san carlos,9.6612,-68.5827,34.68,34,76,1.97,VE,1675877365
136,aksarka,66.5606,67.7975,-5.19,86,28,7.36,RU,1675877503
137,chengde,40.9725,117.9361,-2.62,31,100,0.65,CN,1675877503
138,baiao,-2.7906,-49.6717,28.2,81,79,0.98,BR,1675877504
139,high level,58.5169,-117.136,-19.94,92,20,1.03,CA,1675877504
140,teya,60.3778,92.6267,-16.61,99,100,1.2,RU,1675877505
141,rio claro,-22.4114,-47.5614,27.49,63,59,2.51,BR,1675877505
142,bahia blanca,-38.7196,-62.2724,28.49,43,0,0.45,AR,1675877365
143,domingos martins,-20.3633,-40.6592,27.45,90,100,1.13,BR,1675877506
144,mirnyy,62.5353,113.9611,-42.51,100,58,0.75,RU,1675877214
145,porto novo,6.4965,2.6036,29.9,74,85,4.4,BJ,1675877506
146,yulara,-25.2406,130.9889,27.92,38,1,3.25,AU,1675877507
147,nikolskoye,59.7035,30.7861,1.94,93,100,3.18,RU,1675877308
148,ilulissat,69.2167,-51.1,-21.99,54,0,5.66,GL,1675877507
149,khatanga,71.9667,102.5,-42.45,100,71,2.02,RU,1675877507
150,minsk,53.9,27.5667,-2.14,96,97,2.96,BY,1675876806
151,hithadhoo,-0.6,73.0833,27.58,73,21,2.78,MV,1675877508
152,akyab,20.15,92.9,20.65,75,42,3.89,MM,1675877508
153,kaitangata,-46.2817,169.8464,8.9,74,52,5.9,NZ,1675877509
154,pisco,-13.7,-76.2167,25.57,78,0,4.12,PE,1675877351
155,bosaso,11.2842,49.1816,24.6,77,21,1.86,SO,1675877509
156,neiafu,-18.65,-173.9833,27.38,89,75,1.54,TO,1675877510
157,gondanglegi,-7.7479,112.0132,23.99,92,100,1.39,ID,1675877510
158,nuuk,64.1835,-51.7216,-8.66,79,100,11.62,GL,1675877511
159,fort morgan,40.2503,-103.8,-3.32,86,0,5.66,US,1675877511
160,iqaluit,63.7506,-68.5145,-25.15,64,75,3.6,CA,1675877512
161,sibolga,1.7427,98.7792,24.29,89,100,1.86,ID,1675877513
162,hobart,-42.8794,147.3294,13.92,74,100,2.06,AU,1675877469
163,nantucket,41.2835,-70.0995,9.08,57,20,6.69,US,1675877478
164,eureka,40.8021,-124.1637,8.44,96,43,0.45,US,1675877514
165,sept-iles,50.2001,-66.3821,-2.19,80,100,3.09,CA,1675877515
166,samarai,-10.6167,150.6667,25.31,89,100,4.68,PG,1675877515
167,menongue,-14.6585,17.691,18.11,89,98,2.02,AO,1675877516
168,rawah,34.4816,41.9093,7.15,50,89,3.49,IQ,1675877516
169,bathsheba,13.2167,-59.5167,29.34,61,20,9.26,BB,1675877517
170,siilinjarvi,63.0833,27.6667,-0.99,100,100,5.14,FI,1675877517
171,gasa,31.5,34.4667,7.71,56,99,6.13,PS,1675877517
172,ribeira grande,38.5167,-28.7,15.22,55,40,4.12,PT,1675877416
173,vredendal,-31.6683,18.5012,25.04,51,0,7.56,ZA,1675877518
174,zatoka,46.0725,30.4654,-0.68,65,18,10.15,UA,1675877518
175,jacareacanga,-6.2222,-57.7528,27.33,89,66,1.37,BR,1675877519
176,carnarvon,-24.8667,113.6333,25.5,76,10,9.53,AU,1675877519
177,vestmannaeyjar,63.4427,-20.2734,-1.45,86,40,18.01,IS,1675877520
178,sladkovo,55.5284,70.3385,-26.47,100,70,2.53,RU,1675877520
179,malpura,26.2833,75.3833,17.99,29,2,1.97,IN,1675877521
180,ambilobe,-13.2,49.05,23.15,95,96,0.8,MG,1675877522
181,nouadhibou,20.931,-17.0347,21.99,53,20,6.17,MR,1675877522
182,torbay,47.6666,-52.7314,1.33,94,100,7.72,CA,1675877306
183,isangel,-19.55,169.2667,25.61,89,100,3.67,VU,1675877523
184,yamada,39.4667,141.95,-2.16,72,17,2.95,JP,1675877524
185,holme,56.1138,10.1725,1.76,87,32,6.24,DK,1675877525
186,north bend,43.4065,-124.2243,5.6,100,0,2.06,US,1675877526
187,batagay-alyta,67.8006,130.4114,-42.74,99,66,1.5,RU,1675877526
188,vardo,70.3705,31.1107,0.99,80,0,11.83,NO,1675877527
189,barrow,71.2906,-156.7887,-26.99,69,100,0.0,US,1675877290
190,tuktoyaktuk,69.4541,-133.0374,-36.0,75,20,2.06,CA,1675877452
191,hasaki,35.7333,140.8333,4.22,57,85,7.65,JP,1675877528
192,shar,49.5886,81.0453,-14.93,98,100,0.77,KZ,1675877528
193,port moresby,-9.4431,147.1797,22.68,100,40,2.57,PG,1675877529
194,grand-santi,4.25,-54.3833,27.82,80,96,1.81,GF,1675877529
195,srednekolymsk,67.45,153.6833,-32.58,97,100,2.75,RU,1675877530
196,clermont,49.5,2.4167,3.17,52,0,2.47,FR,1675877033
197,caxito,-8.5785,13.6643,26.62,70,41,3.25,AO,1675877530
198,mar del plata,-38.0023,-57.5575,28.3,53,0,4.63,AR,1675877305
199,kahului,20.8947,-156.47,23.25,77,0,7.2,US,1675877531
200,saldanha,-33.0117,17.9442,19.44,82,46,6.42,ZA,1675877501
201,avarua,-21.2078,-159.775,24.03,94,22,1.03,CK,1675877532
202,asosa,10.0667,34.5333,21.39,30,4,1.56,ET,1675877533
203,bani,18.2833,-70.3333,27.7,50,3,8.83,DO,1675877533
204,kiunga,-6.1219,141.2906,22.89,99,100,2.25,PG,1675877535
205,rawson,-43.3002,-65.1023,29.54,27,60,4.09,AR,1675877008
206,launceston,-41.45,147.1667,14.33,83,100,3.09,AU,1675877535
207,umaria,23.5333,80.8333,15.65,31,2,0.68,IN,1675877536
208,ler,8.3018,30.1418,28.63,18,3,2.77,SS,1675877538
209,xai-xai,-25.0519,33.6442,25.4,88,84,4.55,MZ,1675877538
210,sobolevo,54.4299,31.8996,-6.42,96,99,3.51,RU,1675877539
211,paka,4.6374,103.4368,24.96,94,51,1.54,MY,1675877539
212,kasama,-10.2129,31.1808,15.46,92,75,1.58,ZM,1675877540
213,tual,-5.6667,132.75,25.87,90,100,9.51,ID,1675877392
214,mingaora,34.7758,72.3625,8.74,41,99,2.96,PK,1675877544
215,khash,28.2211,61.2158,14.73,54,45,10.7,IR,1675877545
216,neosho,36.869,-94.368,6.97,95,100,0.89,US,1675877466
217,noumea,-22.2763,166.4572,27.78,99,100,4.67,NC,1675877353
218,clyde river,70.4692,-68.5914,-35.87,68,20,1.03,CA,1675877536
219,arti,56.4234,58.5328,-11.74,95,100,4.54,RU,1675877546
220,kenai,60.5544,-151.2583,-6.95,83,100,0.0,US,1675877546
221,havre-saint-pierre,50.2334,-63.5986,-2.8,80,100,3.6,CA,1675877294
222,luderitz,-26.6481,15.1594,20.27,75,0,9.93,NA,1675877285
223,benjamin hill,30.1667,-111.1,14.74,21,28,3.36,MX,1675877547
224,mecca,21.4267,39.8261,19.65,47,87,4.32,SA,1675877548
225,krasnoborsk,61.5598,45.934,-5.3,98,78,2.24,RU,1675877549
226,komsomolskiy,40.4272,71.7189,5.4,70,100,3.09,UZ,1675877505
227,fort frances,48.5999,-93.4003,-0.88,83,0,1.54,CA,1675877550
228,eyl,7.9803,49.8164,24.18,81,48,6.0,SO,1675877551
229,athabasca,54.7169,-113.2854,-10.77,79,80,2.21,CA,1675877551
230,sarospatak,48.3167,21.5833,-0.16,79,0,0.93,HU,1675877381
231,xihe,31.6864,113.4659,6.32,85,100,4.63,CN,1675877552
232,puerto madero,14.7208,-92.4215,31.11,62,20,2.57,MX,1675877553
233,aklavik,68.2191,-135.0107,-29.0,76,100,0.0,CA,1675877555
234,luganville,-15.5333,167.1667,25.17,89,100,3.5,VU,1675877555
235,san patricio,28.017,-97.5169,14.94,82,93,8.01,US,1675877556
236,victor harbor,-35.5667,138.6167,19.27,85,7,1.86,AU,1675877556
237,villamontes,-21.25,-63.5,34.69,52,20,2.57,BO,1675877557
238,comodoro rivadavia,-45.8667,-67.5,29.92,19,0,8.75,AR,1675877364
239,lagoa,39.05,-27.9833,13.63,58,95,6.08,PT,1675877513
240,chapais,49.7834,-74.8492,-14.12,88,87,4.36,CA,1675877558
241,upington,-28.4478,21.2561,30.21,32,20,3.6,ZA,1675877387
242,whitehorse,60.7161,-135.0538,-8.57,86,75,4.12,CA,1675877273
243,pyay,18.8167,95.2167,19.99,37,6,2.34,MM,1675877559
244,denpasar,-8.65,115.2167,26.81,88,40,2.57,ID,1675877449
245,palmer,42.1584,-72.3287,8.65,52,75,5.14,US,1675877560
246,sanghar,26.0466,68.9481,21.19,28,12,4.36,PK,1675877560
247,tairua,-37.0167,175.85,16.4,71,3,4.45,NZ,1675877561
248,lososina,48.9975,140.3106,-24.32,98,94,2.12,RU,1675877561
249,hanzhong,33.0728,107.0303,5.59,89,100,1.19,CN,1675877561
250,talara,-4.5772,-81.2719,31.42,48,0,7.2,PE,1675877562
251,saint-joseph,-21.3667,55.6167,25.21,81,41,6.25,RE,1675877035
252,laguna,38.421,-121.4238,13.38,91,0,0.0,US,1675877296
253,omsukchan,62.5333,155.8,-40.21,99,71,1.77,RU,1675877563
254,mamakan,57.8161,114.0028,-16.16,97,100,0.93,RU,1675877563
255,bara,10.3744,10.7288,32.88,12,92,3.53,NG,1675877259
256,touros,-5.1989,-35.4608,29.68,52,94,6.26,BR,1675877514
257,klaksvik,62.2266,-6.589,3.51,66,76,14.45,FO,1675877313
258,iranshahr,27.2025,60.6848,23.19,28,0,3.09,IR,1675877564
259,ciudad arce,13.8403,-89.4472,30.79,35,4,0.85,SV,1675877564
260,puerto carreno,6.189,-67.4859,32.99,52,40,4.63,CO,1675877565
261,namibe,-15.1961,12.1522,22.92,71,99,5.94,AO,1675877565
262,kununurra,-15.7667,128.7333,28.99,84,40,3.09,AU,1675877500
263,sao francisco de paula,-29.4481,-50.5836,32.05,27,1,2.77,BR,1675877566
264,kita,13.0349,-9.4895,35.85,10,1,2.02,ML,1675877566
265,havoysund,70.9963,24.6622,4.13,76,100,16.04,NO,1675877567
266,takoradi,4.8845,-1.7554,27.57,75,100,3.08,GH,1675877567
267,galle,6.0367,80.217,25.23,85,98,0.83,LK,1675877426
268,beyneu,45.3167,55.2,-6.22,71,62,7.37,KZ,1675877568
269,eastbourne,50.7687,0.2845,5.62,76,6,2.48,GB,1675877568
270,urengoy,65.9667,78.3667,-15.47,95,100,7.91,RU,1675877568
271,haines junction,60.7522,-137.5108,-18.03,85,97,2.06,CA,1675877569
272,tupik,54.4253,119.9327,-25.0,97,89,0.64,RU,1675877569
273,aykhal,66.0,111.5,-39.87,100,66,2.3,RU,1675877570
274,sitka,57.0531,-135.33,1.94,80,100,3.09,US,1675877529
275,north myrtle beach,33.816,-78.68,22.29,64,0,5.14,US,1675877459
276,bacolod,10.6667,122.95,24.35,83,98,5.16,PH,1675877570
277,beaufort,5.3473,115.7455,22.69,92,99,1.61,MY,1675877571
278,port elizabeth,-33.918,25.5701,22.28,76,0,2.57,ZA,1675877333
279,neryungri,56.6709,124.6491,-31.79,97,84,1.38,RU,1675877571
280,mitsamiouli,-11.3847,43.2844,27.1,80,100,3.15,KM,1675877572
281,bako,5.7833,36.5667,22.41,34,39,1.52,ET,1675877572
282,omboue,-1.5746,9.2618,26.63,84,83,2.87,GA,1675877515
283,kurilsk,45.2333,147.8833,-5.26,57,100,5.24,RU,1675877573
284,iralaya,15.0,-83.2333,27.0,71,1,6.63,HN,1675877360
285,fethiye,36.6217,29.1164,6.93,52,1,4.09,TR,1675877573
286,port hardy,50.6996,-127.4199,1.1,100,75,1.54,CA,1675877407
287,tabat,-2.635,115.2274,22.96,95,79,0.86,ID,1675877574
288,plum,40.5004,-79.7495,8.01,58,51,1.34,US,1675877574
289,inirida,3.8653,-67.9239,27.92,74,83,0.36,CO,1675877574
290,heubach,48.7927,9.9337,-0.4,70,0,2.65,DE,1675877575
291,half moon bay,37.4636,-122.4286,13.0,82,20,2.57,US,1675877311
292,kailua,21.4022,-157.7394,23.41,80,55,4.02,US,1675877575
293,fortuna,40.5982,-124.1573,8.29,95,100,2.57,US,1675877056
294,sinnamary,5.3833,-52.95,25.41,88,93,5.66,GF,1675877551
295,esperance,-33.8667,121.9,17.53,88,25,4.54,AU,1675877576
296,zhezkazgan,47.8043,67.7144,-13.02,95,100,6.54,KZ,1675877576
297,lavrentiya,65.5833,-171.0,-25.0,91,100,1.68,RU,1675877548
298,souillac,-20.5167,57.5167,26.21,78,40,2.06,MU,1675877376
299,manjacaze,-24.7117,33.8828,24.45,90,71,3.39,MZ,1675877577
300,ancud,-41.8697,-73.8203,18.56,70,5,4.17,CL,1675877287
301,nikolayevsk-na-amure,53.1406,140.73,-34.54,100,51,1.49,RU,1675877577
302,rokupr,8.6717,-12.395,34.31,29,16,2.9,SL,1675877578
303,posse,-14.0931,-46.3694,30.75,36,49,0.63,BR,1675877578
304,sao joao da barra,-21.6403,-41.0511,28.05,86,95,3.46,BR,1675877578
305,puerto colombia,10.9878,-74.9547,30.05,72,2,9.95,CO,1675877579
306,hamilton,39.1834,-84.5333,10.5,61,0,1.54,US,1675877324
307,atar,20.5169,-13.0499,25.77,12,100,4.21,MR,1675877579
308,moranbah,-22.0016,148.0466,21.69,80,51,8.06,AU,1675877580
309,baghdad,33.3406,44.4009,10.95,58,75,9.77,IQ,1675877304
310,dothan,31.2232,-85.3905,25.11,60,0,6.17,US,1675877088
311,pakxan,18.3778,103.6601,23.36,69,4,1.81,LA,1675877581
312,dingle,10.9995,122.6711,22.7,91,87,3.56,PH,1675877581
313,ijevan,40.8783,45.1492,0.09,82,98,0.71,AM,1675877582
314,sokolow podlaski,52.4068,22.2531,-3.72,92,27,2.98,PL,1675877583
315,grimshaw,56.1834,-117.6027,-10.21,73,75,3.09,CA,1675877584
316,alice springs,-23.7,133.8833,21.75,73,6,2.57,AU,1675877585
317,kavieng,-2.5744,150.7967,27.04,78,100,3.96,PG,1675877586
318,gravdal,68.1214,13.5031,5.94,93,100,20.58,NO,1675877587
319,salalah,17.0151,54.0924,24.05,78,0,1.54,OM,1675877588
320,muroto,33.2833,134.15,9.58,63,41,4.35,JP,1675877588
321,black river,18.0264,-77.8487,29.26,55,12,5.5,JM,1675877589
322,qaqortoq,60.7167,-46.0333,-6.79,91,100,5.04,GL,1675877589
323,damietta,31.4165,31.8133,11.94,53,26,6.59,EG,1675877590
324,kutum,14.2,24.6667,17.12,11,57,4.89,SD,1675877590
325,saint-augustin,51.226,-58.6502,-6.19,87,100,1.84,CA,1675877591
326,erenhot,43.6475,111.9767,-6.09,42,100,2.94,CN,1675877592
327,ketchikan,55.3422,-131.6461,2.99,93,75,2.06,US,1675877593
328,tigil,57.8,158.6667,-24.24,99,100,2.0,RU,1675877593
329,sola,-13.8833,167.55,25.86,80,100,1.77,VU,1675877594
330,abnub,27.2696,31.1511,14.12,38,100,3.11,EG,1675877595
331,gazanjyk,39.2446,55.5154,7.68,75,100,3.76,TM,1675877596
332,asau,46.4333,26.4,-6.49,97,49,2.02,RO,1675877328
333,santa cruz,-17.8,-63.1667,32.03,58,40,6.69,BO,1675877334
334,arrifes,37.7667,-25.7,13.14,72,75,6.17,PT,1675877597
335,abu samrah,35.3029,37.1841,2.87,59,36,4.0,SY,1675877597
336,lafiagi,8.8667,5.4167,33.34,14,71,0.69,NG,1675877599
337,emilio carranza,19.9711,-96.6114,26.26,64,0,2.84,MX,1675877599
338,muros,42.7762,-9.0603,11.87,67,0,2.82,ES,1675877600
339,porto recanati,43.4365,13.6613,6.1,38,38,4.38,IT,1675877601
340,lebu,-37.6167,-73.65,19.03,72,1,5.56,CL,1675877601
341,saulkrasti,57.2622,24.4147,1.06,87,100,5.51,LV,1675877602
342,faanui,-16.4833,-151.75,26.84,75,24,4.76,PF,1675877598
343,ankazoabo,-22.2833,44.5167,22.38,78,100,2.36,MG,1675877603
344,bela,25.9333,81.9833,14.45,48,0,3.28,IN,1675877604
345,coolum beach,-26.5333,153.1,25.06,77,95,5.38,AU,1675877605
346,taywarah,33.35,64.4167,-5.8,87,37,3.07,AF,1675877606
347,turayf,31.6725,38.6637,5.14,75,75,6.17,SA,1675877606
348,deputatskiy,69.3,139.9,-42.95,99,74,1.98,RU,1675877607
349,alta floresta,-9.8756,-56.0861,28.9,74,20,1.03,BR,1675877607
350,japura,-0.3167,102.35,23.17,97,61,0.89,ID,1675877608
351,oyon,-10.6681,-76.7731,13.02,58,83,0.65,PE,1675877609
352,berlevag,70.8578,29.0864,4.0,65,0,21.61,NO,1675877334
353,pincher creek,49.4833,-113.952,1.09,87,100,6.69,CA,1675877322
354,tanout,14.9709,8.8879,25.28,12,84,5.46,NE,1675877610
355,kingsville,27.5159,-97.8561,14.1,85,100,9.26,US,1675877611
356,jaque,7.5175,-78.1703,28.51,74,30,3.07,PA,1675877611
357,tuatapere,-46.1333,167.6833,8.12,86,93,4.4,NZ,1675877611
358,gweta,-20.1833,25.2333,26.59,52,100,2.85,BW,1675877612
359,shelburne,44.0787,-80.2041,1.8,80,31,3.83,CA,1675877484
360,nemuro,43.3236,145.575,-6.35,82,82,2.98,JP,1675877612
361,cam ranh,11.9214,109.1591,24.98,88,20,2.57,VN,1675877613
362,otane,-39.8833,176.6333,13.89,85,1,1.7,NZ,1675877613
363,awbari,26.5921,12.7805,21.28,17,82,7.07,LY,1675877615
364,kalmunai,7.4167,81.8167,24.75,86,68,2.94,LK,1675877615
365,miles city,46.4083,-105.8406,4.54,60,100,6.17,US,1675877605
366,namie,37.4833,141.0,3.17,82,36,5.02,JP,1675877616
367,khorramshahr,30.4397,48.1664,14.98,55,0,0.0,IR,1675877616
